date,value
1987-03-31,6801
1987-06-30,7070
1987-09-30,7154
1987-12-31,7262
1988-03-31,7444
1988-06-30,7618
1988-09-30,7906
1988-12-31,8182
1989-03-31,8301
1989-06-30,8536
1989-09-30,8695
1989-12-31,8774
1990-03-31,8697
1990-06-30,8751
1990-09-30,8895
1990-12-31,9139
1991-03-31,9167
1991-06-30,9417
1991-09-30,9577
1991-12-31,9651
1992-03-31,9606
1992-06-30,9619
1992-09-30,9990
1992-12-31,10356
1993-03-31,10655
1993-06-30,10475
1993-09-30,10412
1993-12-31,10393
1994-03-31,9659
1994-06-30,9255
1994-09-30,9496
1994-12-31,9764
1995-03-31,10243
1995-06-30,11008
1995-09-30,11562
1995-12-31,11640
1996-03-31,11977
1996-06-30,11588
1996-09-30,11194
1996-12-31,10837
1997-03-31,11273
1997-06-30,11888
1997-09-30,11833
1997-12-31,11379
1998-03-31,11715
1998-06-30,11613
1998-09-30,12180
1998-12-31,10414
1999-03-31,8947
1999-06-30,9277
1999-09-30,9933
1999-12-31,10757
2000-03-31,11429
2000-06-30,9779
2000-09-30,10558
2000-12-31,12253
2001-03-31,11704
2001-06-30,11309
2001-09-30,11958
2001-12-31,10952
2002-03-31,12360
2002-06-30,12465
2002-09-30,13119
2002-12-31,12071
2003-03-31,14814
2003-06-30,12352
2003-09-30,13894
2003-12-31,14445
2004-03-31,16687
2004-06-30,13575
2004-09-30,15950
2004-12-31,16779
2005-03-31,17690
2005-06-30,15552
2005-09-30,15784
2005-12-31,17339
2006-03-31,18628
2006-06-30,13428
2006-09-30,15739
2006-12-31,19182
2007-03-31,21208
2007-06-30,20398
2007-09-30,19822
2007-12-31,17129
2008-03-31,20542
2008-06-30,17156
2008-09-30,14435
2008-12-31,14506
2009-03-31,15115
2009-06-30,11941
2009-09-30,13829
2009-12-31,14668
2010-03-31,18334
2010-06-30,19939
2010-09-30,16629
2010-12-31,18058
2011-03-31,18357
2011-06-30,15588
2011-09-30,14232
2011-12-31,18039
2012-03-31,19129
2012-06-30,13304
2012-09-30,12614
2012-12-31,9235
2013-03-31,15482
2013-06-30,12447
2013-09-30,10579
2013-12-31,15777
2014-03-31,22055
2014-06-30,15570
2014-09-30,15844
2014-12-31,13769
2015-03-31,16007
2015-06-30,11872
2015-09-30,8428
2015-12-31,10353
2016-03-31,15876
2016-06-30,13537
2016-09-30,12215
2016-12-31,11160
2017-03-31,14220
2017-06-30,10972
2017-09-30,8290
